日時,タイプ,タイトル,スコア,正解数,総数
2026-02-21 13:44:15,調剤室業務,正解,患者のプライバシーに配慮し、窓口では大きな声で病名などを話さない。,〇,〇
2026-02-21 13:44:16,調剤室業務,正解,水剤ボトルのキャップが緩んでいないか、交付前に再確認する。,〇,〇
2026-02-21 13:44:18,調剤室業務,正解,軟膏の容器を再利用（患者が持ってきた古い容器に詰める）することは原則禁止である。,〇,〇
2026-02-21 13:44:19,調剤室業務,正解,麻薬の処方箋は、調剤後2年間保存しなければならない。,〇,〇
2026-02-21 13:44:20,調剤室業務,不正解,散剤の端数は、乳鉢に残った分を捨てて調整してよい。,〇,×
2026-02-21 13:44:21,調剤室業務,正解,記号「×」は簡易懸濁不可（または粉砕不可）を示します。,〇,〇
2026-02-21 13:44:22,調剤室業務,正解,引換券がない場合は、本人確認の上で処方箋にサインをもらい交付する。,〇,〇
2026-02-21 13:44:24,調剤室業務,正解,散剤の賦形剤（乳糖等）を間違えないよう、容器のラベルを指差し確認する。,〇,〇
2026-02-21 13:44:26,調剤室業務,正解,自己血糖測定器のチップなどの「高度管理医療機器」の管理は、専用の台帳で行う。,〇,〇
2026-02-21 13:44:27,調剤室業務,正解,薬袋プリンタが故障した場合、予備のプリンタへ切り替える。,〇,〇
2026-02-21 13:44:31,調剤室業務,正解,患者のプライバシーに配慮し、窓口では大きな声で病名などを話さない。,〇,〇
2026-02-21 13:44:32,調剤室業務,正解,水剤ボトルのキャップが緩んでいないか、交付前に再確認する。,〇,〇
2026-02-21 13:44:33,調剤室業務,正解,軟膏の容器を再利用（患者が持ってきた古い容器に詰める）することは原則禁止である。,〇,〇
2026-02-21 13:44:35,調剤室業務,正解,麻薬の処方箋は、調剤後2年間保存しなければならない。,〇,〇
2026-02-21 13:44:36,調剤室業務,不正解,散剤の端数は、乳鉢に残った分を捨てて調整してよい。,〇,×
2026-02-21 13:44:37,調剤室業務,正解,記号「×」は簡易懸濁不可（または粉砕不可）を示します。,〇,〇
2026-02-21 13:44:39,調剤室業務,正解,引換券がない場合は、本人確認の上で処方箋にサインをもらい交付する。,〇,〇
2026-02-21 13:44:41,調剤室業務,正解,散剤の賦形剤（乳糖等）を間違えないよう、容器のラベルを指差し確認する。,〇,〇
2026-02-21 13:44:42,調剤室業務,正解,自己血糖測定器のチップなどの「高度管理医療機器」の管理は、専用の台帳で行う。,〇,〇
2026-02-21 13:44:44,調剤室業務,正解,薬袋プリンタが故障した場合、予備のプリンタへ切り替える。,〇,〇
2026-02-21 14:52:46,調剤室業務,正解,調剤した薬剤の数と薬袋の印字数が一致しているか、ダブルチェックを行う。,〇,〇
2026-02-21 14:52:51,調剤室業務,正解,複数の散剤を混合する場合、色調の変化（配合変化）に注意する。,〇,〇
2026-02-21 14:52:56,調剤室業務,正解,毒薬を保管する棚は、黒地に白枠、白文字で「毒」と表示する。,〇,〇
2026-02-21 14:52:59,調剤室業務,正解,自動分包機のカセット間違いを防ぐため、充填時にバーコード照合を行う。,〇,〇
2026-02-21 14:53:03,調剤室業務,正解,薬を渡す際、患者の顔色や体調に変化がないか観察する。,〇,〇
2026-02-21 14:53:09,調剤室業務,正解,お薬手帳の履歴から、直近の検査値（HbA1cなど）を確認し、服薬指導に活かす。,〇,〇
2026-02-21 14:53:12,調剤室業務,不正解,処方箋の有効期限が切れている場合、医師の再確認があればそのまま調剤できる。,〇,×
2026-02-21 14:53:16,調剤室業務,正解,配合不適、禁忌、重複服用、副作用の有無を確認することは処方監査に含まれる。,〇,〇
2026-02-21 14:53:19,調剤室業務,正解,高度管理医療機器の販売時には、患者の氏名、住所、連絡先を記録しなければならない。,〇,〇
