日時,カテゴリー,判定,問題文,自分の回答,正解
2026-02-18 20:06:16,調剤室業務,正解,プリンタのトナーが薄くなった場合、振って使い切るのではなく直ちに交換する。,〇,〇
2026-02-18 20:06:18,調剤室業務,正解,「合意事項」に基づき、特定の軽微な内容であれば照会なしで修正できる。,〇,〇
2026-02-18 20:06:19,調剤室業務,正解,軟膏の混合調剤において、異なるメーカーの同一成分薬を混ぜる場合は医師に確認する。,〇,〇
2026-02-18 20:06:20,調剤室業務,正解,患者に渡す薬袋が、雨などで濡れないよう袋に入れて渡す等の配慮をする。,〇,〇
2026-02-18 20:06:22,調剤室業務,正解,調剤過誤の原因分析（なぜなぜ分析等）を行い、マニュアルに反映させる。,〇,〇
2026-02-18 20:06:23,調剤室業務,正解,軟膏の混合において、主薬の安定性を損なう可能性がある場合は医師に確認する。,〇,〇
2026-02-18 20:06:24,調剤室業務,不正解,麻薬は他の医薬品と一緒に一般の棚で保管してもよい。,〇,×
2026-02-18 20:06:26,調剤室業務,正解,システムで「禁忌」のアラートが出た場合、処方医に確認するまで調剤を保留する。,〇,〇
2026-02-18 20:06:27,調剤室業務,正解,分包機の印字用インクリボンを交換した後は、印字のズレがないかテストを行う。,〇,〇
2026-02-18 20:06:28,調剤室業務,不正解,緊急時等にやむを得ず一人で調剤・鑑査を行う場合、連続した作業として行ってよい。,〇,×
2026-02-18 20:16:18,精神神経・筋疾患,正解,抗精神病薬の長期服用により起こる、勝手に口を動かすなどの不随意運動を何というか。,True,遅発性ジスキネジア
